389,118
388,119
388,156
387,157
388,158
388,169
387,170
387,175
386,176
386,203
385,204
385,229
384,230
384,240
382,242
382,251
381,252
382,253
382,255
383,256
383,262
385,264
385,273
383,275
383,294
382,295
382,305
380,307
380,321
381,322
381,351
380,352
380,369
379,370
379,371
378,372
378,386
379,387
379,416
378,417
378,430
377,431
377,436
376,437
376,451
377,452
377,468
375,470
375,477
374,478
374,483
375,484
375,485
376,486
376,507
375,508
375,530
374,531
374,548
373,549
373,556
374,557
374,567
373,568
373,609
374,610
445,610
446,611
497,611
498,612
510,612
511,613
519,613
520,614
525,614
526,613
548,613
549,614
567,614
568,615
571,615
573,613
573,593
572,592
572,591
571,590
571,589
570,588
570,574
571,573
571,554
572,553
572,531
573,530
573,515
574,514
574,490
575,489
575,488
576,487
576,484
577,483
577,475
576,474
576,473
575,472
575,467
576,466
576,462
577,461
577,460
578,459
578,448
577,447
577,425
578,424
578,402
579,401
579,383
580,382
580,359
581,358
581,335
582,334
582,307
583,306
583,295
584,294
584,293
585,292
585,280
584,279
584,268
585,267
585,266
586,265
586,253
585,252
585,234
586,233
586,206
587,205
587,174
588,173
588,126
587,125
582,125
581,124
565,124
564,123
550,123
549,124
541,124
540,123
520,123
519,122
495,122
494,121
487,121
486,120
477,120
476,121
461,121
460,120
440,120
439,119
396,119
395,118
