#x_m,y_m,w_tr_right_m,w_tr_left_m
-31.599999999999998,14.25,0.52,0.5631338250816035
-31.65,14.2,0.5214693182963202,0.506225774829855
-31.75,14.2,0.4478174593052023,0.5
-31.8,14.149999999999999,0.45102496759066546,0.4516648189186455
-31.9,14.149999999999999,0.39111025509279784,0.4648529270389178
-31.95,14.100000000000001,0.4082411530116701,0.4280109889280519
-32.0,14.100000000000001,0.3858910531638177,0.4433034373659254
-32.05,14.05,0.41330343736592534,0.4158910531638178
-32.15,14.05,0.3858910531638177,0.46321687612368745
-32.2,14.0,0.4266372975210779,0.45
-32.25,14.0,0.4082411530116701,0.48102496759066543
-32.4,13.850000000000001,0.41330343736592534,0.49056941504209495
-32.4,13.8,0.45102496759066546,0.46321687612368745
-32.5,13.7,0.4332168761236874,0.5077747210701755
-32.5,13.650000000000002,0.46056941504209487,0.49056941504209495
-32.55,13.600000000000001,0.45102496759066546,0.5246211251235321
-32.55,13.400000000000002,0.5081527307120106,0.5
-32.599999999999994,13.350000000000001,0.47622577482985495,0.55
-32.599999999999994,13.3,0.4839410298049853,0.5514693182963202
-32.55,13.25,0.543212459828649,0.506225774829855
-32.55,13.150000000000002,0.4839410298049853,0.5246211251235321
-32.5,13.100000000000001,0.4900609733428364,0.49056941504209495
-32.5,13.0,0.4332168761236874,0.50156097709407
-32.45,12.95,0.4526237921249265,0.45663729752107796
-32.45,12.850000000000001,0.4082411530116701,0.4762087348130013
-32.4,12.8,0.4315773105863909,0.4433034373659254
-32.4,12.75,0.4082411530116701,0.4615773105863909
-32.349999999999994,12.7,0.4315773105863909,0.43824115301167005
-32.349999999999994,12.650000000000002,0.4082411530116701,0.46321687612368745
-32.3,12.600000000000001,0.4315773105863909,0.45
-32.3,12.55,0.4082411530116701,0.48102496759066543
-32.2,12.45,0.46056941504209487,0.4615773105863909
-32.2,12.350000000000001,0.4348529270389178,0.49056941504209495
-32.15,12.3,0.47622577482985495,0.4615773105863909
-32.15,12.150000000000002,0.47000000000000003,0.532165848854662
-32.099999999999994,12.100000000000001,0.52,0.5200609733428364
-32.099999999999994,11.95,0.52,0.5944271909999159
-32.05,11.900000000000002,0.5700000000000001,0.573212459828649
-32.05,11.75,0.5700000000000001,0.6433981132056603
-32.0,11.7,0.6200000000000001,0.6300537618869138
-32.0,11.600000000000001,0.6200000000000001,0.6848857801796104
-31.95,11.55,0.67,0.6617692030835672
-31.95,11.100000000000001,0.7140306508910551,0.7253048327204938
-32.0,11.05,0.6811874208078343,0.7259142264341597
-32.0,11.0,0.689803902718557,0.6924716620639604
-32.15,10.850000000000001,0.582414379544733,0.6433981132056603
-32.15,10.8,0.5919544457292888,0.6013878188659973
-32.25,10.7,0.524400374531753,0.5845903006477066
-32.25,10.650000000000002,0.543212459828649,0.548528137423857
-32.3,10.600000000000001,0.52,0.5276472678623424
-32.349999999999994,10.600000000000001,0.47622577482985495,0.55
-32.4,10.55,0.4526237921249265,0.532165848854662
-32.4,10.5,0.47622577482985495,0.49056941504209495
-32.5,10.400000000000002,0.45102496759066546,0.46321687612368745
-32.55,10.400000000000002,0.41330343736592534,0.49056941504209495
-32.8,10.150000000000002,0.4124621202458749,0.43824115301167005
-32.849999999999994,10.150000000000002,0.3771067811865476,0.4615773105863909
-33.0,10.0,0.39111025509279784,0.41063352017759486
-33.05,10.0,0.36462219947249025,0.43824115301167005
-33.2,9.850000000000001,0.3806335201775948,0.3946221994724903
-33.25,9.850000000000001,0.3500735254367722,0.4211102550927979
-33.4,9.7,0.3771067811865476,0.3946221994724903
-33.45,9.7,0.34268120235368554,0.4211102550927979
-33.599999999999994,9.55,0.3806335201775948,0.3946221994724903
-33.65,9.55,0.3500735254367722,0.4158910531638178
-33.7,9.5,0.36462219947249025,0.3946221994724903
-33.75,9.5,0.34082039324993696,0.4211102550927979
-33.95,9.3,0.36462219947249025,0.39641941385920604
-34.0,9.3,0.34082039324993696,0.4158910531638178
-34.05,9.25,0.36462219947249025,0.3946221994724903
-34.1,9.25,0.34082039324993696,0.4211102550927979
-34.25,9.100000000000001,0.3806335201775948,0.4071067811865476
-34.3,9.100000000000001,0.3500735254367722,0.43824115301167005
-34.4,9.0,0.3771067811865476,0.3946221994724903
-34.45,9.0,0.34268120235368554,0.4211102550927979
-34.55,8.900000000000002,0.36462219947249025,0.3946221994724903
-34.6,8.900000000000002,0.34082039324993696,0.4158910531638178
-34.75,8.75,0.3417514421272202,0.370820393249937
-34.8,8.75,0.3063961030678928,0.3946221994724903
-34.95,8.600000000000001,0.34082039324993696,0.370820393249937
-35.0,8.600000000000001,0.3063961030678928,0.3946221994724903
-35.1,8.5,0.3103124237432849,0.3500000000000001
-35.15,8.5,0.28032778078668513,0.370820393249937
-35.25,8.400000000000002,0.3063961030678928,0.3403124237432849
-35.3,8.400000000000002,0.2720797289396148,0.37268120235368557
-35.45,8.25,0.32000000000000006,0.32649820430708343
-35.5,8.25,0.2964982043070834,0.351920240520265
-35.55,8.2,0.32000000000000006,0.3403124237432849
-35.6,8.2,0.2964982043070834,0.37268120235368557
-35.65,8.150000000000002,0.32000000000000006,0.370820393249937
-35.7,8.150000000000002,0.3024555320336759,0.3946221994724903
-35.75,8.100000000000001,0.33708320320631674,0.38007352543677225
-35.8,8.100000000000001,0.3276473218982953,0.41063352017759486
-35.85,8.05,0.37178344238091,0.4071067811865476
-35.9,8.05,0.37000000000000005,0.43824115301167005
-35.95,8.0,0.42000000000000004,0.4158910531638178
-36.15,8.0,0.42166481891864543,0.506225774829855
