#x_m,y_m,w_tr_right_m,w_tr_left_m
-38.4,29.750000000000004,0.4,1.1
-38.45,29.7,0.45,1.05
-38.8,29.7,0.4,1.098075498574717
-38.85,29.650000000000002,0.45,1.0589678312014172
-39.1,29.650000000000002,0.40827625302982196,1.1038404810405298
-39.15,29.6,0.4519202405202649,1.0589678312014172
-39.3,29.6,0.41846584384264907,1.085496013218244
-39.35,29.55,0.45,1.05
-39.5,29.55,0.4041522986797286,1.0747548783981962
-39.55,29.5,0.4324555320336759,1.036931687685298
-39.65,29.5,0.40827625302982196,1.0649110640673518
-39.7,29.45,0.45,1.034908903522847
-39.8,29.45,0.41846584384264907,1.0747548783981962
-39.85,29.400000000000002,0.45,1.0529964086141668
-39.9,29.400000000000002,0.4324555320336759,1.0747548783981962
-39.95,29.35,0.4519202405202649,1.05
-40.0,29.35,0.4264982043070834,1.0649110640673518
-40.05,29.3,0.45,1.034908903522847
-40.15,29.3,0.41846584384264907,1.0649110640673518
-40.2,29.25,0.45,1.034908903522847
-40.3,29.25,0.41846584384264907,1.0747548783981962
-40.35,29.2,0.45,1.0529964086141668
-40.4,29.2,0.4264982043070834,1.0747548783981962
-40.45,29.150000000000002,0.45,1.0529964086141668
-40.5,29.150000000000002,0.4264982043070834,1.0776932339180638
-40.55,29.1,0.45,1.0619429464123964
-40.6,29.1,0.4264982043070834,1.0816005617976296
-40.65,29.05,0.45,1.0539936203984455
-40.7,29.05,0.4264982043070834,1.0747548783981962
-40.75,29.0,0.4403124237432849,1.0529964086141668
-40.8,29.0,0.41032778078668514,1.0776932339180638
-40.9,28.900000000000002,0.4403124237432849,1.05
-40.95,28.900000000000002,0.41032778078668514,1.0806248474865698
-41.05,28.8,0.45,1.0529964086141668
-41.1,28.8,0.4264982043070834,1.0776932339180638
-41.2,28.7,0.4403124237432849,1.05
-41.25,28.7,0.41032778078668514,1.0806248474865698
-41.45,28.5,0.4403124237432849,1.05
-41.5,28.5,0.41032778078668514,1.0806248474865698
-42.15,27.85,0.41032778078668514,1.0806248474865698
-42.15,27.8,0.4403124237432849,1.05
-42.35,27.6,0.41032778078668514,1.0806248474865698
-42.35,27.55,0.4403124237432849,1.05
-42.45,27.45,0.4264982043070834,1.0776932339180638
-42.45,27.400000000000002,0.45,1.05
-42.55,27.3,0.41032778078668514,1.0776932339180638
-42.55,27.25,0.4403124237432849,1.05
-42.65,27.150000000000002,0.4264982043070834,1.0776932339180638
-42.65,27.1,0.45,1.0529964086141668
-42.7,27.05,0.4264982043070834,1.0747548783981962
-42.7,27.0,0.45,1.0539936203984455
-42.75,26.95,0.4264982043070834,1.0776932339180638
-42.75,26.900000000000002,0.45,1.0529964086141668
-42.8,26.85,0.4264982043070834,1.0747548783981962
-42.8,26.8,0.45,1.0529964086141668
-42.85,26.75,0.4264982043070834,1.0747548783981962
-42.85,26.7,0.45,1.0529964086141668
-42.9,26.650000000000002,0.41846584384264907,1.0747548783981962
-42.9,26.55,0.45,1.034908903522847
-42.95,26.5,0.4264982043070834,1.0649110640673518
-42.95,26.45,0.45,1.05
-43.0,26.400000000000002,0.4264982043070834,1.0816005617976296
-43.0,26.35,0.45,1.0649110640673518
-43.05,26.3,0.40827625302982196,1.098075498574717
-43.05,26.150000000000002,0.45,1.05
-43.1,26.1,0.41846584384264907,1.0816005617976296
-43.1,26.0,0.45,1.05
-43.15,25.95,0.40827625302982196,1.085496013218244
-43.15,25.8,0.45,1.05
-43.2,25.75,0.40827625302982196,1.085496013218244
-43.2,25.55,0.45,1.0539936203984455
-43.25,25.5,0.4,1.098075498574717
-43.25,25.2,0.45,1.0509996003196804
-43.3,25.150000000000002,0.4,1.1
-43.3,24.2,0.4,1.1038404810405298
-43.25,24.150000000000002,0.45,1.0589678312014172
-43.25,23.650000000000002,0.45,1.0589678312014172
-43.3,23.6,0.4,1.1038404810405298
-43.3,23.25,0.45,1.0649110640673518
-43.35,23.2,0.41846584384264907,1.0971121771072847
-43.35,23.1,0.45,1.0539936203984455
-43.4,23.05,0.4264982043070834,1.0816005617976296
-43.4,23.0,0.45,1.0649110640673518
-43.45,22.95,0.4264982043070834,1.090348790056394
-43.45,22.900000000000002,0.4519202405202649,1.0619429464123964
-43.55,22.8,0.4264982043070834,1.0971121771072847
-43.55,22.75,0.4519202405202649,1.0727922061357855
-43.85,22.45,0.4403124237432849,1.0619429464123964
-43.9,22.45,0.41032778078668514,1.090348790056394
-44.1,22.25,0.4519202405202649,1.0529964086141668
-44.15,22.25,0.4264982043070834,1.0776932339180638
-44.2,22.2,0.4403124237432849,1.0619429464123964
-44.25,22.2,0.41032778078668514,1.090348790056394
-44.4,22.05,0.4403124237432849,1.0619429464123964
-44.45,22.05,0.41032778078668514,1.090348790056394
-44.55,21.95,0.4403124237432849,1.0619429464123964
-44.6,21.95,0.41032778078668514,1.090348790056394
-45.1,21.45,0.4264982043070834,1.090348790056394
-45.1,21.400000000000002,0.45,1.0619429464123964
-45.15,21.35,0.4264982043070834,1.0776932339180638
-45.15,21.3,0.4519202405202649,1.0529964086141668
-45.25,21.2,0.4264982043070834,1.0971121771072847
-45.25,21.150000000000002,0.45,1.0747548783981962
-45.3,21.1,0.40827625302982196,1.0971121771072847
