#x_m,y_m,w_tr_right_m,w_tr_left_m
-31.849999999999998,13.899999999999999,0.6617692030835672,0.2099019513592785
-31.9,13.850000000000001,0.6848857801796104,0.17434164902525695
-32.0,13.850000000000001,0.6486832980505138,0.2147815070493501
-32.05,13.8,0.682344135219425,0.20000000000000007
-32.099999999999994,13.8,0.67082439194738,0.23150729063673256
-32.2,13.7,0.6899494936611665,0.2408326913195985
-32.2,13.650000000000002,0.7259142264341597,0.2147815070493501
-32.25,13.600000000000001,0.7295630140987002,0.23851648071345044
-32.25,13.45,0.810180165558726,0.20249378105604454
-32.3,13.400000000000002,0.7793516572461452,0.25000000000000006
-32.3,13.3,0.801135777277262,0.2522680508593631
-32.25,13.25,0.810180165558726,0.2099019513592785
-32.25,13.100000000000001,0.7295630140987002,0.25000000000000006
-32.2,13.05,0.751189802081432,0.20000000000000007
-32.2,12.900000000000002,0.6848857801796104,0.2220153254455276
-32.15,12.850000000000001,0.7062305898749055,0.19244289008980525
-32.15,12.8,0.6848857801796104,0.2147815070493501
-32.099999999999994,12.75,0.7062305898749055,0.20000000000000007
-32.099999999999994,12.7,0.6848857801796104,0.23150729063673256
-32.0,12.600000000000001,0.7307764064044152,0.2147815070493501
-32.0,12.55,0.7124228365658294,0.23851648071345044
-31.95,12.5,0.7440306508910551,0.2099019513592785
-31.95,12.400000000000002,0.719803902718557,0.23851648071345044
-31.9,12.350000000000001,0.7606601717798214,0.2147815070493501
-31.9,12.3,0.7547511554864494,0.2408326913195985
-31.849999999999998,12.25,0.801135777277262,0.23150729063673256
-31.849999999999998,12.150000000000002,0.8,0.2830951894845301
-31.8,12.100000000000001,0.8500000000000001,0.2590169943749475
-31.8,12.0,0.8500000000000001,0.3041522986797287
-31.75,11.95,0.9,0.2830951894845301
-31.75,11.900000000000002,0.9,0.31032778078668516
-31.7,11.850000000000001,0.9500000000000001,0.3020797289396149
-31.7,11.75,0.9500000000000001,0.3500000000000001
-31.65,11.7,1.0,0.32649820430708343
-31.65,11.600000000000001,1.0,0.370820393249937
-31.599999999999998,11.55,1.05,0.351920240520265
-31.599999999999998,11.45,1.05,0.39641941385920604
-31.55,11.400000000000002,1.1,0.370820393249937
-31.55,11.05,1.1430869689661811,0.43824115301167005
-31.65,10.95,1.0729530217745982,0.41063352017759486
-31.65,10.900000000000002,1.0829316685939332,0.37268120235368557
-31.75,10.8,1.0124404748406688,0.37268120235368557
-31.75,10.75,1.0238202294873726,0.3403124237432849
-31.95,10.55,0.8884864324004713,0.2830951894845301
-32.0,10.55,0.8423659658795863,0.31032778078668516
-32.05,10.5,0.818033988749895,0.3020797289396149
-32.05,10.45,0.8412712210513327,0.26568542494923814
-32.15,10.350000000000001,0.7977249200050075,0.23851648071345044
-32.2,10.350000000000001,0.7547511554864494,0.2590169943749475
-32.349999999999994,10.2,0.7259142264341597,0.2147815070493501
-32.4,10.2,0.6899494936611665,0.2408326913195985
-32.599999999999994,10.0,0.6899494936611665,0.20000000000000007
-32.65,10.0,0.6545941546018392,0.23150729063673256
-32.8,9.850000000000001,0.6604686356149273,0.17169905660283022
-32.849999999999994,9.850000000000001,0.6300537618869138,0.20000000000000007
-32.95,9.75,0.6545941546018392,0.17169905660283022
-33.0,9.75,0.6192388155425118,0.20000000000000007
-33.099999999999994,9.650000000000002,0.6300537618869138,0.17169905660283022
-33.15,9.650000000000002,0.6013878188659973,0.20000000000000007
-33.3,9.5,0.6219544457292887,0.17169905660283022
-33.349999999999994,9.5,0.5902246907382429,0.20000000000000007
-33.5,9.350000000000001,0.6300537618869138,0.17169905660283022
-33.55,9.350000000000001,0.6013878188659973,0.19244289008980525
-33.7,9.2,0.6219544457292887,0.15961940777125594
-33.75,9.2,0.5902246907382429,0.19497474683058333
-33.849999999999994,9.100000000000001,0.617877987534291,0.17434164902525695
-33.9,9.100000000000001,0.5944271909999159,0.19244289008980525
-33.95,9.05,0.617877987534291,0.17169905660283022
-34.0,9.05,0.5944271909999159,0.20000000000000007
-34.2,8.850000000000001,0.6433981132056603,0.17169905660283022
-34.25,8.850000000000001,0.617877987534291,0.19244289008980525
-34.3,8.8,0.6219544457292887,0.17169905660283022
-34.35,8.8,0.5902246907382429,0.20000000000000007
-34.45,8.7,0.617877987534291,0.17169905660283022
-34.5,8.7,0.5838834764831845,0.19244289008980525
-34.65,8.55,0.5845903006477066,0.14721359549995802
-34.7,8.55,0.5514693182963202,0.17169905660283022
-34.85,8.400000000000002,0.5838834764831845,0.14721359549995802
-34.9,8.400000000000002,0.548528137423857,0.17169905660283022
-35.0,8.3,0.5602325267042627,0.12720018726587656
-35.05,8.3,0.532165848854662,0.14721359549995802
-35.15,8.2,0.5514693182963202,0.12426406871192852
-35.2,8.2,0.5200609733428364,0.15961940777125594
-35.3,8.100000000000001,0.55,0.12720018726587656
-35.35,8.100000000000001,0.5276472678623424,0.14721359549995802
-35.4,8.05,0.55,0.1301162633521314
-35.45,8.05,0.5276472678623424,0.16097722286464441
-35.55,7.95,0.573212459828649,0.14721359549995802
-35.6,7.95,0.5544003745317531,0.17169905660283022
-35.7,7.8500000000000005,0.6219544457292887,0.15961940777125594
-35.75,7.8500000000000005,0.612414379544733,0.19244289008980525
-35.8,7.800000000000002,0.65524865872714,0.17169905660283022
-35.9,7.800000000000002,0.65,0.2147815070493501
-35.95,7.750000000000001,0.7000000000000001,0.19244289008980525
-36.05,7.750000000000001,0.7000000000000001,0.2408326913195985
-36.1,7.7,0.75,0.23150729063673256
-36.15,7.7,0.75,0.26568542494923814
-36.25,7.6000000000000005,0.8510864433221338,0.2590169943749475
-36.55,7.6000000000000005,0.9020815280171308,0.3020797289396149
-36.7,7.750000000000001,0.818033988749895,0.3020797289396149
-36.75,7.750000000000001,0.8412712210513327,0.26568542494923814
-36.85,7.8500000000000005,0.810180165558726,0.23851648071345044
-36.85,7.900000000000001,0.7700467279516348,0.2590169943749475
-37.0,8.05,0.763014581273465,0.2147815070493501
-37.0,8.100000000000001,0.7307764064044152,0.23851648071345044
-37.1,8.2,0.7547511554864494,0.20000000000000007
-37.1,8.25,0.7295630140987002,0.23150729063673256
-37.15,8.3,0.751189802081432,0.2099019513592785
-37.15,8.350000000000001,0.7307764064044152,0.2220153254455276
-37.2,8.400000000000002,0.7594810050208546,0.19244289008980525
-37.2,8.650000000000002,0.704987562112089,0.25000000000000006
-37.25,8.7,0.751189802081432,0.20000000000000007
-37.25,9.100000000000001,0.7688779163215975,0.20249378105604454
-37.2,9.150000000000002,0.7307764064044152,0.2590169943749475
-37.2,9.3,0.7688779163215975,0.19244289008980525
-37.15,9.350000000000001,0.7307764064044152,0.2220153254455276
-37.15,9.400000000000002,0.7440306508910551,0.2099019513592785
-37.1,9.45,0.7124228365658294,0.23150729063673256
-37.1,9.5,0.7307764064044152,0.20000000000000007
-36.6,10.0,0.67082439194738,0.16097722286464441
-36.55,10.0,0.6433981132056603,0.19497474683058333
-36.35,10.2,0.6861541461658011,0.17169905660283022
-36.3,10.2,0.6545941546018392,0.20000000000000007
-36.15,10.350000000000001,0.6604686356149273,0.16097722286464441
-36.1,10.350000000000001,0.6300537618869138,0.19497474683058333
-35.9,10.55,0.6545941546018392,0.16097722286464441
-35.85,10.55,0.6192388155425118,0.19244289008980525
-35.7,10.7,0.6192388155425118,0.14721359549995802
-35.65,10.7,0.5838834764831845,0.17169905660283022
-35.4,10.95,0.617877987534291,0.19497474683058333
-35.4,11.0,0.6545941546018392,0.16097722286464441
-35.25,11.150000000000002,0.67082439194738,0.2147815070493501
-35.25,11.2,0.7124228365658294,0.19244289008980525
-35.2,11.25,0.7253048327204938,0.2220153254455276
-35.2,11.3,0.7606601717798214,0.2099019513592785
-35.15,11.350000000000001,0.763014581273465,0.2522680508593631
-35.15,11.45,0.840175425099138,0.25000000000000006
-35.1,11.5,0.8510864433221338,0.30000000000000004
-35.1,11.650000000000002,0.9727922061357855,0.30000000000000004
-35.05,11.7,0.9747548783981963,0.351920240520265
-35.05,11.95,1.1495689014324224,0.4158910531638178
-35.1,12.0,1.1495689014324224,0.3946221994724903
-35.1,12.05,1.114213562373095,0.4211102550927979
-35.25,12.2,1.1300349646075092,0.41063352017759486
-35.3,12.2,1.1326548781894403,0.38007352543677225
-35.35,12.25,1.0647344063956181,0.3946221994724903
-35.5,12.25,0.9806248474865698,0.32649820430708343
-35.55,12.3,0.9103718436910205,0.3500000000000001
